sentiment,text
positive,@JetBlue @JayVig I like the inflight snacks! I'm flying with you guys on 2/28! #JVMChat
positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
negative,@USAirways Your exchange/credit policies are worthless and shadier than the White House. Dissatisfied to the nines right now.
negative,@USAirways but in the meantime I'll be sleeping on a park bench on dadeland st.  Thanks guys!
negative,@VirginAmerica hold times at call center are a bit much
negative,@USAirways not moving we are in the tarmac delayed for some unknown reason. I'll keep you posted
neutral,"@JetBlue What about if I booked it through Orbitz? My email is correct, but there's a middle party."
negative,@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling
negative,".@AmericanAir after 50 minutes on hold, and another 30 minutes on the call yes. Going to be pushing it to get to the airport on time now"
positive,@JetBlue flight 117. proud to fly Jet Blue!
negative,@SouthwestAir customer service is rude and bothered by our calls. Has no idea what is going on and sighed heavily on the phone. Unbelievable
positive,@JetBlue it's only because I'm wearing #TrueBlueColors!
negative,@USAirways I ask for reimbursement maybe miles added to my account for my inconvenience and for the money that I had to spend
negative,@USAirways please fix your reservations phone system.  The weather/backup could not possibly be bad for 10 days!  #goodgriefpeople
negative,@JetBlue ruining vacations left and right. Who would have thought an airline can Cancelled Flight tickets without telling the buyer
negative,@SouthwestAir I called the 800 # and the rep there was pleasant but less than helpful! Told me I was SOL. Train them for consistent #CX!
negative,@united common!! keep your paper work ready and don't delay our flights(#1585)and meetings @ChooseChicago
negative,@USAirways I'm traveling around the world until the end of the year. 800 numbers do me no good.
positive,@united this flight has been amazing. This is the best flight I have ever been on I am not kidding. Service is INCREDIBLE!
negative,@USAirways just lost a faithful customer.
negative,@SouthwestAir well I HAD a car &amp; free place 2 stay had I known Unacceptable treatment from Spvsr. Sally in Cleveland. #Disappointed
negative,"@SouthwestAir not as sorry as I was when I sat on a plane for 3 hours waiting for the engine to be fixed and THEN got my luggage lost, but k"
negative,"@SouthwestAir because according to the flight attendant my husband doesn't talk english, when the fact is that he understand and talks it"
neutral,@united #787 to begin Newark-London Heathrow route on May 6 @PANYNJ @BoeingAirplanes @FroschTravel http://t.co/RdJ1MwFLg1
negative,@USAirways so far I've gotten six different answers
negative,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!"
negative,@USAirways your a miserable airline and your loss of revenue is a reflection of that.  Go extinct.  A merger only delays the inevitable
negative,@united accordingly? U dont respond at all
negative,"@AmericanAir So break whatever you want, take no responsibility..Too bad for customer? #media #filmcrew @chicagotribune @WSJ #nytimes @CNN"
negative,"@USAirways No. Just felt that you could do better in making the emails feel a little less of “We don’t care. We’re automated."""
positive,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while.."
neutral,@AmericanAir hook me up with a free trip to Barbados and I will tell you the secret beaches to see
negative,@AmericanAir I had a 6am flight I can get no rest because I have to wait another 2 hours to receive an automated phone call. #neveragain
negative,@SouthwestAir my wife had been in group A in prev. flight but got bumped for some reason.  Alone with two kids. At least put her in group A
negative,"@USAirways I already did. My question is, why does it still say in progress on @AskPayPal? It's been 6 days."
negative,@JetBlue we've been on the runway for over an hour. Now the water pressure is low and taxiing back for maintenance. #1572
negative,"@united you better hold my flight to Tucson #5237, just landed in Houston after an hour delay for some minor computer problem"
negative,@USAirways flight 614 keeps telling a few more mins to take off its been an hour. First time with you not the best #lies #brokenpromises
positive,@SouthwestAir this would be an awesome experience #DestinationDragons
negative,"@SouthwestAir A-list preferred line phone wait was 15 minutes. I hung up, not feeling A-list-ey!"
negative,@united I interviewed yesterday as a flight attendant I was the last person the recruiter said they lost my file n came back to interview me
negative,@SouthwestAir I luv y'all but please stop overheating your planes. Second flight in a row that feels like a sauna.
neutral,@SouthwestAir Airline trouble &amp; not getting satisfactory customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!
negative,"@USAirways and at this point I don't need sorry, I need a revers agt to pick up the call so maybe we can make the 11:30 flight today"
negative,@SouthwestAir INSANE traffic in LA. Trying to call you all to re schedule flight but been on phone for 20 minutes and nothing.
positive,@AmericanAir All of the nicest people in the world work at Admiral's clubs. Gladys in San Juan es mi Amiga
negative,@SouthwestAir needed my flight info so I can add my rapid rewards to my flight ... First time I have flown with SW - won't do it again #mad
positive,@USAirways Excited that I'll be flying from Syracuse to interview in Dallas on Friday for the FA position- this is a goal &amp; dream of mine!
negative,@southwestair really?!? 1.5 hours ON THE PLANE and at the gate??? Jax2BNA. Like we haven’t waited days to get home #notokay
negative,"@AmericanAir bought a ticket on @SouthwestAir. After two days, your ""team"" couldn't share the data needed to get me to my next meeting."
negative,@USAirways I expect something more than telling me to see an agent to rebook my flight...
neutral,@united gives Belfast a #Hug with the new unmissable #BusHug format #impact #busads #thinkbus @BelfastAirport http://t.co/AvbdstJUJS
positive,@JetBlue I'll pass along the advice. You guys rock!!
positive,@USAirways great job today from your team with a challenging weather delay on flight 1925 out of Charlotte. #travel #friendlyteam
